datetime,temp,humidity,precip,windgust,windspeed,cloudcover,visibility,uvindex,solarradiation,pressure,weather
00:00:00,24.9,95.73,0.0,14.8,0.0,44.0,10.0,0.0,0.0,1009.3,cerah
01:00:00,24.8,95.42,0.0,15.8,3.6,44.0,10.0,0.0,0.0,1008.4,cerah
02:00:00,24.8,95.42,0.0,16.6,0.8,44.0,10.0,0.0,0.0,1008.2,cerah
03:00:00,25.0,94.19,0.0,16.9,3.6,27.7,10.0,0.0,0.0,1007.0,cerah
04:00:00,24.7,95.73,0.0,18.7,3.6,44.0,10.0,0.0,0.0,1007.3,cerah
05:00:00,24.6,95.1,0.0,20.9,3.6,44.0,10.0,0.0,0.0,1007.7,cerah
06:00:00,25.2,91.77,0.0,20.9,9.4,44.0,10.0,0.0,0.0,1008.3,cerah
07:00:00,25.2,92.68,0.0,19.4,4.4,54.8,10.0,0.0,13.8,1008.5,berawan
08:00:00,27.8,83.76,0.0,15.8,3.6,66.3,9.0,1.0,112.7,1009.2,berawan
09:00:00,30.0,74.63,0.0,14.0,5.4,50.0,9.0,3.0,312.6,1009.0,cerah
10:00:00,29.4,77.35,0.0,11.5,6.4,77.1,9.0,4.0,355.9,1009.4,berawan
11:00:00,26.9,93.67,0.0,12.6,13.1,77.1,7.0,6.0,554.4,1009.3,berawan
12:00:00,27.0,86.01,8.0,16.9,4.4,77.1,5.0,5.0,525.5,1009.2,hujan
13:00:00,27.1,87.13,0.0,19.4,1.8,77.1,5.0,7.0,691.8,1008.5,berawan
14:00:00,28.0,82.44,0.0,24.1,3.6,77.1,5.0,6.0,550.9,1008.2,berawan
15:00:00,28.0,88.92,0.0,23.4,7.6,50.0,7.0,5.0,480.3,1007.0,cerah
16:00:00,25.1,94.19,0.0,18.0,14.8,77.1,1.0,3.0,335.5,1007.5,berawan
17:00:00,24.9,94.19,0.0,15.5,6.6,77.1,2.0,3.0,251.9,1008.2,berawan
